X,Y,AddSystem,UTAddPtID,FullAdd,AddNum,AddNumSuff,PrefixDir,StreetName,StreetType,SuffixDir,LandmarkNa,Building,UnitType,UnitID,City,ZipCode,CountyID,State,PtLocation,PtType,Structure,ParcelID,AddSource,LoadDate
-111.710357973213974,40.260011735900441,PROVO,PROVO | 2914 W 1930 N,2914 W 1930 N,2914,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.710716902507997,40.259755470242453,PROVO,PROVO | 2939 W 1930 N,2939 W 1930 N,2939,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.709658435347379,40.259757371551423,PROVO,PROVO | 2883 W 1930 N,2883 W 1930 N,2883,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.712896200328501,40.259744046969722,PROVO,PROVO | 3047 W 1930 N,3047 W 1930 N,3047,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760011,UTAH COUNTY,2013/06/19
-111.710691548204281,40.260007165104675,PROVO,PROVO | 2936 W 1930 N,2936 W 1930 N,2936,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.712590349129172,40.259756922123273,PROVO,PROVO | 3033 W 1930 N,3033 W 1930 N,3033,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760012,UTAH COUNTY,2013/06/19
-111.709372403719499,40.260001565109093,PROVO,PROVO | 2866 W 1930 N,2866 W 1930 N,2866,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.674493119535967,40.222427101171988,PROVO,PROVO | 855 S 950 W,855 S 950 W,855,,S,950,,W,,,,,PROVO,84601,49049,UT,,,,210450002,UTAH COUNTY,2013/06/19
-111.710012982396179,40.259756728275626,PROVO,PROVO | 2905 W 1930 N,2905 W 1930 N,2905,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.717328861235259,40.217824614843458,PROVO,PROVO | 1185 S ALPINE AIRWAY DR,1185 S ALPINE AIRWAY DR,1185,,S,ALPINE AIRWAY,DR,,,,,,PROVO,84601,49049,UT,,,,210320005,UTAH COUNTY,2013/06/19
-111.703843618946536,40.233194625930786,PROVO,PROVO | 66 S 2530 W,66 S 2530 W,66,,S,2530,,W,,,,,PROVO,84601,49049,UT,,,,467230001,UTAH COUNTY,2013/06/19
-111.713712532657709,40.259976859983382,PROVO,PROVO | 3084 W 1930 N,3084 W 1930 N,3084,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760015,UTAH COUNTY,2013/06/19
-111.713888777703602,40.259705224125497,PROVO,PROVO | 3089 W 1930 N,3089 W 1930 N,3089,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760008,UTAH COUNTY,2013/06/19
-111.713534694167294,40.259738760294582,PROVO,PROVO | 3077 W 1930 N,3077 W 1930 N,3077,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760009,UTAH COUNTY,2013/06/19
-111.714151749175969,40.259696484170583,PROVO,PROVO | 3103 W 1930 N,3103 W 1930 N,3103,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760007,UTAH COUNTY,2013/06/19
-111.713207410440376,40.259759967678775,PROVO,PROVO | 3059 W 1930 N,3059 W 1930 N,3059,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,454760010,UTAH COUNTY,2013/06/19
-111.711321690265109,40.259754366873565,PROVO,PROVO | 1967 W 1930 N,1967 W 1930 N,1967,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.711639699660765,40.259745834851557,PROVO,PROVO | 2981 W 1930 N,2981 W 1930 N,2981,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
-111.711947360189058,40.259737275533979,PROVO,PROVO | 2977 W 1930 N,2977 W 1930 N,2977,,W,1930,,N,,,,,PROVO,84601,49049,UT,,,,190460110,UTAH COUNTY,2013/06/19
